Model,CV AUC Mean,CV AUC Std
Random Forest,0.9297587109067044,0.028131864218271022
XGBoost,0.921585051284552,0.026722914951294408
Gradient Boosting,0.9069565404566845,0.030037563991257683
KNN,0.8736396780187583,0.022186377028412557
Decision Tree,0.821045524691358,0.035953158813005065
SVM,0.8111975928364178,0.019463720891942267
Logistic Regression,0.7210255869074034,0.0377580592914262
