Model,AUC,F1-Score,Precision,Recall
Random Forest (Grid),0.9081401209677419,0.8174258217722784,0.8183190215977102,0.8174603174603174
XGBoost (Grid),0.8978074596774193,0.8095238095238095,0.8095238095238095,0.8095238095238095
SVM (Grid),0.822202620967742,0.776650890241154,0.7818930041152263,0.7777777777777778
Logistic Regression (Grid),0.6843497983870969,0.6347364839168118,0.6348725348725349,0.6349206349206349
