Model,AUC,F1-Score,Precision,Recall
Random Forest,0.915952620967742,0.833301821390307,0.8333753678015975,0.8333333333333334
Stacking Ensemble,0.9106602822580645,0.8174718160229971,0.81758629377677,0.8174603174603174
XGBoost,0.8910030241935484,0.7777777777777778,0.7777777777777778,0.7777777777777778
Gradient Boosting,0.8874747983870968,0.8007975119872509,0.8083003068918562,0.8015873015873016
KNN,0.8708417338709677,0.8015998000249969,0.801713277903754,0.8015873015873016
SVM,0.8103578629032258,0.7830444426189106,0.797773654916512,0.7857142857142857
Decision Tree,0.7932207661290323,0.7693322943212372,0.7712639085636798,0.7698412698412699
Logistic Regression,0.6835937500000001,0.6347364839168118,0.6348725348725349,0.6349206349206349
